Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	Q8 Answer,	
2019-04-07 22:46:24 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-08 00:59:44 Etc/GMT,	John Sweeney,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-08 02:23:07 Etc/GMT,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	
2019-04-08 02:56:56 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	John Sweeney,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-08 06:16:45 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-08 08:00:51 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-08 08:14:32 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-08 16:06:02 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-08 16:08:16 Etc/GMT,	John Sweeney,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Ryan Vansickle,	John Sweeney,	
2019-04-08 20:27:11 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	John Sweeney,	
2019-04-08 21:08:34 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-09 01:31:14 Etc/GMT,	Kia Mirsalehi,	John Sweeney,	Mitchell Gale,	Vote of No Confidence,	Nikola Filipovic,	Vote Of No Confidence,	Vote Of No Confidence,	John Sweeney,	
2019-04-09 17:40:20 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Mark Liu,	Vote of No Confidence,	Vote of No Confidence,	John Sweeney,	Sarbjot Mann,	Vote of No Confidence,	
2019-04-09 17:42:36 Etc/GMT,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	
2019-04-09 19:40:06 Etc/GMT,	Kia Mirsalehi,	,	Michelle Soo,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-09 19:51:26 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Vote of No Confidence,	
2019-04-09 19:54:02 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	John Sweeney,	Truman Bui,	John Sweeney,	John Sweeney,	Ryan Vansickle,	Dusan kovacevic,	
